"Layer","Designator","Center-Y(mm)","Center-X(mm)","Comment","Footprint","Rotation","Description"
"TopLayer","C1","53.4000","131.9000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C2","53.4000","133.1500","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C3","47.1000","14.2000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C4","47.1000","12.7000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C5","27.7500","30.4250","18 pF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 18 pF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C6","38.6000","18.9250","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C7","48.9500","32.4000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C8","43.1750","18.9250","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C9","48.9500","22.1750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C10","35.4500","36.1000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C11","48.9500","26.0000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C12","40.0250","18.9250","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C13","27.8000","24.8000","18 pF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 18 pF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C14","31.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C15","41.7000","56.0000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C16","21.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C17","11.7000","54.5000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C18","19.2250","102.3750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C19","15.4500","105.2250","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C20","16.9500","105.2250","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C21","52.5500","119.2750","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C22","60.2500","119.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C23","59.0000","119.3000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C24","52.5250","126.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C25","58.9750","126.3000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C26","60.2250","126.3000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C27","48.8750","105.1000","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C28","51.1250","99.3000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C29","51.1250","97.8000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C30","25.4500","103.9000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C31","27.7500","107.7000","1 �F","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 1 �F, 10 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C32","29.4250","107.7000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","180","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C33","28.4500","102.7250","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C34","48.7000","55.3000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C35","50.7500","48.8000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","270","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C36","42.3250","72.9850","10 �F","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 10 �F, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C37","43.8250","72.9850","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 50 V, X7R, 0603 Imperial (1608 Metric)"
"TopLayer","C38","48.9500","24.4000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","90","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","C39","31.2500","25.9000","100 nF","Capacitor,_0603_Imperial_(1608_Metric)","0","Capacitor, 100 nF, 16 V, X5R, 0603 Imperial (1608 Metric)"
"TopLayer","D1","53.1000","134.2250","8 kV","Resistor,_0402_Imperial_(1005_Metric)","90","Bi-directional low capacitance, 50 fF, 8 kV, 0402 Package"
"TopLayer","D2","47.2000","11.4000","8 kV","Resistor,_0402_Imperial_(1005_Metric)","270","Bi-directional low capacitance, 50 fF, 8 kV, 0402 Package"
"TopLayer","F1","52.6000","136.4000","500 mA","Fuse,_Yageo,_SMD0805B050TF","0","PTC resettable fuse, 500 mA Ihold, 1 A Itrip, 6 V, 0805 Imperial (2012 Metric)"
"TopLayer","F2","46.8000","9.6500","500 mA","Fuse,_Yageo,_SMD0805B050TF","270","PTC resettable fuse, 500 mA Ihold, 1 A Itrip, 6 V, 0805 Imperial (2012 Metric)"
"TopLayer","IC1","39.7250","28.4000","","IC,_Microchip,_ATmega32U4","0","AVR AVR� ATmega Microcontroller IC 8-Bit 16MHz 32KB (16K x 16) FLASH 44-TQFP (10x10), ATMEGA32U4RC-AUR"
"TopLayer","IC2","16.2040","101.6790","","IC_,_Analog_Devices_Inc,_ADP2370ACPZ-R7","180","Buck Switching Regulator IC Positive Fixed 5V 1 Output 800mA 8-WFDFN Exposed Pad, CSP"
"TopLayer","IC3","55.1460","119.4500","adjustable","IC,_Diodes_Incorperated,_AP7366-W5-7","0","Adjustable Low dropout Linear regulator, 600 mA, 0.8 to 5 V output, SOT-25 Package"
"TopLayer","IC4","55.1210","126.4500","adjustable","IC,_Diodes_Incorperated,_AP7366-W5-7","0","Adjustable Low dropout Linear regulator, 600 mA, 0.8 to 5 V output, SOT-25 Package"
"TopLayer","IC5","50.8250","102.2000","","IC_,_Texas_Instruments,_TPS27081ADDCR","270","8-V, 3-A, 44-mO load switch with adj. rise time"
"TopLayer","IC6","26.1000","99.9500","","IC_,_Texas_Instruments,_INA236BIDDFR","90","Current Monitor Regulator High/Low-Side TSOT-23-8"
"TopLayer","IC7","54.1500","54.4250","","IC_,_Texas_Instruments,_TXS0108EQPWRQ1","90","Voltage Level Translator, Bidirectional, 1 Circuit 8 Channel,110Mbps, 20-TSSOP"
"TopLayer","IC8","46.0850","68.3250","","IC_,_Texas_Instruments,_TPL0102-100PWR","180","Digital Potentiometer 100k Ohm 2 Circuit 256 Taps I2C Interface 14-TSSOP"
"TopLayer","J1","55.0000","144.9750","USB-C","Connector,_W�rth_Elektronik,_629722000214","90","WR-COM USB 2.0 Type C Receptacle Horizontal SMT, 8 Pins,"
"TopLayer","J2","42.0000","5.0250","USB-C","Connector,_W�rth_Elektronik,_629722000214","270","WR-COM USB 2.0 Type C Receptacle Horizontal SMT, 8 Pins,"
"TopLayer","J3","67.3100","15.2400","6-Pin","Connector,_Wurth_Elektronik,_61200621621","180","Pin Header, 3 Column, 2 Row, 2.54mm Pitch, 6mm Pin Height.
Custom Footrpint"
"TopLayer","J4","13.1600","30.4800","24-Pin","Connector,_W�rth_Elektronik,_61002421121","0","SMT, Pin Header, 12 Column, 2 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J5","56.0000","30.0000","4-Pin","Connector,_Adam_Tech,_RS1-04-G","180","Pin Socket, 4 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"BottomLayer","J6","38.1000","147.3200","Banana Connector","Connector,_Altech_Corporation,_973582100","0","Panel Mount Banana Jack Connector Standard Banana Quick Connect Red"
"TopLayer","J7","44.4500","147.3200","2-Pin","Connector,_W�rth_Elektronik,_61300211121","90","Pin Header, 2 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"BottomLayer","J8","33.0200","147.3200","Banana Connector","Connector,_Altech_Corporation,_973582100","0","Panel Mount Banana Jack Connector Standard Banana Quick Connect Black"
"TopLayer","J9","15.2400","147.3200","Banana Connector","Connector,_Altech_Corporation,_973582100","0","Panel Mount Banana Jack Connector Standard Banana Quick Connect Red"
"TopLayer","J10","19.0500","142.1025","2 pin","Connector,_JST,_BM02B-ACHSS-GAN-ETF","180","battery connector, 2 Pin, JST ACH series."
"TopLayer","J11","11.4300","143.5100","4-Pin","Connector,_Adam_Tech,_RS1-04-G","180","Pin Socket, 4 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"BottomLayer","J12","22.8600","147.3200","Banana Connector","Connector,_Altech_Corporation,_973582100","180","Panel Mount Banana Jack Connector Standard Banana Quick Connect Black"
"TopLayer","J13","26.6700","143.5100","4-Pin","Connector,_Adam_Tech,_RS1-04-G","180","Pin Socket, 4 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J15","68.5800","72.3900","2-Pin","Connector,_W�rth_Elektronik,_61300211121","0","Pin Header, 2 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J16","58.4200","73.6600","3-Pin","Connector,_W�rth_Elektronik,_61300311121","180","Pin Header, 3 Column, 1 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J17","67.3100","49.5300","24-Pin","Connector,_W�rth_Elektronik,_61002421121","0","SMT, Pin Header, 12 Column, 2 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J18","67.3100","97.7900","24-Pin","Connector,_W�rth_Elektronik,_61002421121","0","SMT, Pin Header, 12 Column, 2 Row, 2.54mm Pitch, 6mm Pin Height"
"TopLayer","J19","67.3100","134.6200","6-Pin","Connector,_Wurth_Elektronik,_61200621621","0","Pin Header, 3 Column, 2 Row, 2.54mm Pitch, 6mm Pin Height.
Custom Footrpint"
"TopLayer","L1","52.6000","139.3000","120 Ohm @ 100 MHz","Ferrite_Bead,_0402_Imperial_(1005_Metric)","0","Ferrite Bead, 120 Ohm @ 100 MHz, 190 mOhm ESR, 550 mA, 0402 Imperial"
"TopLayer","L2","44.4000","9.6000","120 Ohm @ 100 MHz","Ferrite_Bead,_0402_Imperial_(1005_Metric)","180","Ferrite Bead, 120 Ohm @ 100 MHz, 190 mOhm ESR, 550 mA, 0402 Imperial"
"TopLayer","L3","48.9500","20.6750","10 �H","Inductor,_0603_Imperial_(1608_Metric)","90","Multilayer type Inductor, 10�H, 20%, 50mA, 0603 Imperial (1608 Metric), Shielded,"
"TopLayer","L4","11.7000","103.4500","6.8 �H","Inductor,_Coilcraft,_XAL4030-682MEC","0","6.8 �H Shielded Molded Inductor 3.9 A 74.1mOhm Max 1616 (4040 Metric)"
"TopLayer","LED1","28.5000","4.6750","White","LED,_0603_Imperial_(1608_Metric)","0","White LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"TopLayer","LED2","33.0000","4.6500","White","LED,_0603_Imperial_(1608_Metric)","0","White LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"TopLayer","LED3","23.8000","120.0000","Blue","LED,_0603_Imperial_(1608_Metric)","0","Blue LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"TopLayer","LED4","12.3000","129.5500","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","LED5","22.3250","129.5250","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","LED6","17.2500","129.5250","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","LED7","48.5250","120.0000","Blue","LED,_0603_Imperial_(1608_Metric)","0","Blue LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"TopLayer","LED8","46.6750","129.5250","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","LED9","41.7000","129.5250","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","LED10","36.7000","129.5250","Green","LED,_0603_Imperial_(1608_Metric)","0","Green 527.5nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"TopLayer","MECH2","90.0000","69.5750","","PCB_Feature,_NUWA,_Asparagus2","0","Asparagus2 V6.1.1, Test Points"
"TopLayer","Q1","59.3000","58.1750","NPN","Transistor,_NPN,_BC847xW","270","BC847xW series, 45 V, 100 mA NPN general-purpose transistors, hFe 290, 200 mW, SOT323 package"
"TopLayer","R1","55.7500","139.3001","0 Ohm","Resistor,_0402_Imperial_(1005_Metric)","180","0 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R2","54.7550","139.3121","0 Ohm","Resistor,_0402_Imperial_(1005_Metric)","180","0 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R3","56.7500","139.3000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","0","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R4","53.7500","139.3000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","0","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R5","41.2500","11.0000","22 Ohm","Resistor,_0402_Imperial_(1005_Metric)","0","22 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
